Tract_ID,STATEFP10,State_Label,F14_FI_RATE,F14_DISTRIB,F14_LB_UNME,F14_Pounds_Needed,Coverage_Pct_2014,F15_FI_RATE,F15_FI_POP,F15_Pounds_Needed,F15_DISTRIB,F15_LB_UNME,Coverage_Pct_2015,PPIN_Distributed_2015,PPIN_Unmet_2015,PPIN_Source_2015,Total_Pop,Poverty_Rate,Median_Income,Unemployment_Rate,Black_Pct,White_Pct,Hispanic_Pct,Homeownership_Pct,Income_Quartile
24031700105,24,MD,7.6,12569.42,92974.06354,105543.48354,11.90923359587265,0.058,388.484,81581.64,31369.76941,50211.87059,38.45199656442308,80.74919278528846,129.25080721471156,80.749193,6698,0.01,103480,0.056,0.25,0.0,0.156,0.869,Q3
24031700811,24,MD,5.2,5499.5,47145.81713,52645.31713,10.446323243565574,0.052,262.966704,55223.00784,20898.59436,34324.41348,37.84399868357479,79.47239723550705,130.52760276449297,79.472397,5052,0.05,83389,0.049,0.258,1.3,0.367,0.724,Q2
24031700310,24,MD,9.0,9656.62,96410.18429,106066.80429,9.10428108458664,0.099,581.438979,122102.1856,4650.141459,117452.0441,3.808401492692036,7.997643135308271,202.00235681137573,7.997643,5879,0.03,78288,0.088,0.243,2.4,0.154,0.729,Q2
24031700833,24,MD,13.6,22023.7,109352.3043,131376.0043,16.763868042225123,0.123,546.050505,114670.6061,45920.26465,68750.3414,40.04536664780042,84.09526999704907,125.90473000295091,84.09527,4435,0.128,81056,0.135,0.28,0.0,0.251,0.785,Q2
24031700715,24,MD,7.6,15712.41,80893.47472,96605.88472,16.264443978273626,0.074,463.758,97389.18,36381.49394,61007.68606,37.35681308744976,78.44930748364449,131.55069251635553,78.449307,6267,0.047,98433,0.089,0.272,0.9,0.289,0.784,Q3
24031701304,24,MD,5.0,3256.22,61213.78182,64470.00182,5.050752145302173,0.057,332.490177,69822.93717,1526.516115,68296.42106,2.1862674027638587,4.591161545804103,205.4088384692339,4.591162,5839,0.023,122708,0.07,0.164,1.0,0.097,0.918,Q4 (Highest)
24031701307,24,MD,5.1,4538.82,35580.84249,40119.66249,11.313205840481135,0.046,179.952,37789.92,2972.631628,34817.28837,7.866202489976164,16.519025228949943,193.480974759936,16.519025,3912,0.072,142266,0.053,0.14,0.1,0.092,0.959,Q4 (Highest)
24031700818,24,MD,18.6,43203.19,199164.1069,242367.29690000002,17.82550309080086,0.164,1087.750664,228427.6394,20625.67172,207801.9677,9.02941157829082,18.96176431109032,191.03823567052314,18.961764,6626,0.106,65422,0.093,0.385,1.2,0.281,0.222,Q1 (Lowest)
24031700611,24,MD,3.8,2230.94,50684.444,52915.384000000005,4.2160518007390815,0.033,220.836,46375.56,363.268363,46012.29164,0.7833185475280515,1.644968949808908,208.35503106377584,1.644969,6692,0.02,151147,0.065,0.09,1.0,0.134,0.925,Q4 (Highest)
24031700306,24,MD,6.1,6729.11,80968.14547,87697.25547,7.6731135586129415,0.053,368.934696,77476.28616,4479.799002,72996.48716,5.782155061935405,12.142525630064352,197.85747437535667,12.142526,6968,0.028,110000,0.053,0.177,0.9,0.166,0.838,Q3
24031700832,24,MD,9.1,8683.24,43104.85594,51788.09594,16.766864744477417,0.057,169.347,35562.87,13412.47922,22150.39078,37.71483915668223,79.20116222903269,130.7988377709673,79.201162,2971,0.07,70405,0.048,0.288,3.7,0.371,0.762,Q2
24031700813,24,MD,8.4,18278.13,88338.03019,106616.16019000001,17.14386446428633,0.088,561.968,118013.28,44509.65035,73503.62965,37.71579804408453,79.20317589257752,130.7968241074225,79.203176,6386,0.154,76018,0.069,0.265,0.7,0.302,0.769,Q2
24031700812,24,MD,4.8,7676.27,34387.57237,42063.84237,18.249093681167675,0.047,195.386191,41031.10011,15061.64362,25969.45649,36.707871784137744,77.08653074668926,132.91346925331075,77.086531,4153,0.063,76471,0.042,0.115,0.7,0.286,0.778,Q2
24031701316,24,MD,7.4,4182.4,87068.47836,91250.87835999999,4.583407935537597,0.094,567.669102,119210.5114,2056.845632,117153.6658,1.72538948775955,3.62331792368717,206.37668209745192,3.623318,6033,0.064,118158,0.091,0.183,1.6,0.06,0.814,Q3
24031700819,24,MD,10.0,11925.61,137993.3893,149918.99930000002,7.954702242999829,0.072,501.552,105325.92,39923.4027,65402.5173,37.90463230703325,79.59972784476983,130.40027215523017,79.599728,6966,0.038,75343,0.049,0.229,0.4,0.238,0.689,Q2
24031700815,24,MD,8.6,23617.37,129820.3918,153437.7618,15.392149704832306,0.059,478.718802,100530.9484,8453.736306,92077.21211,8.409088385761217,17.65908560658539,192.34091438505897,17.659086,8122,0.09,90962,0.058,0.245,0.4,0.326,0.797,Q2
24031700716,24,MD,9.4,30517.18,117276.2036,147793.3836,20.648542753844904,0.066,505.098,106070.58,42771.72556,63298.85444,40.32383490313713,84.68005329658799,125.31994670341201,84.680053,7653,0.042,83726,0.078,0.149,1.6,0.206,0.853,Q2
24031700722,24,MD,10.0,13070.7,76137.29709,89207.99708999999,14.651937523956802,0.095,387.125,81296.25,31617.85597,49678.39403,38.892145664775434,81.67350589602842,128.32649410397158,81.673506,4075,0.071,77614,0.03,0.255,1.0,0.195,0.498,Q2
24031700713,24,MD,13.3,39655.96,116137.5822,155793.5422,25.454174441384513,0.108,604.26,126894.6,50359.03548,76535.56452,39.685719865147924,83.34001171681065,126.65998828318936,83.340012,5595,0.097,48485,0.057,0.246,7.3,0.398,0.351,Q1 (Lowest)
24031700721,24,MD,11.4,10207.09,48637.43452,58844.524520000006,17.345861969758676,0.103,260.384,54680.64,18891.84291,35788.79709,34.549418057286815,72.55377792030232,137.44622207969766,72.553778,2528,0.051,60648,0.061,0.299,0.0,0.227,0.585,Q1 (Lowest)
24031701312,24,MD,4.7,17532.09,42684.78237,60216.87237,29.114912996933523,0.051,317.22,66616.2,3068.953006,63547.24699,4.6069169451274625,9.674525584767668,200.32547440262277,9.674526,6220,0.044,135725,0.045,0.097,0.0,0.045,0.864,Q4 (Highest)
24031701315,24,MD,6.2,2071.24,59526.37915,61597.61915,3.3625325598319002,0.06,284.28,59698.8,1548.83701,58149.96299,2.594419000046902,5.448279900098495,204.55172009990153,5.44828,4738,0.014,114417,0.048,0.166,1.9,0.121,0.756,Q3
24031700613,24,MD,5.5,10721.13,60195.87344,70917.00344,15.117855351954784,0.075,465.01455,97653.0555,3292.534023,94360.52148,3.3716651323828777,7.0804967780040435,202.91950322844735,7.080497,6194,0.06,129500,0.066,0.132,0.7,0.071,0.778,Q4 (Highest)
24031700706,24,MD,10.9,13936.96,68924.83537,82861.79537,16.819524532105245,0.092,355.01466,74553.0786,27165.97063,47387.10797,36.43842902283582,76.52070094795522,133.47929905204478,76.520701,3855,0.074,69444,0.017,0.262,5.5,0.294,0.364,Q2
24031700614,24,MD,8.9,12314.74,72687.38299,85002.12299,14.487567565163939,0.098,489.804,102858.84,37201.97217,65656.86783,36.16798728237651,75.95277329299067,134.04722670700934,75.952773,4998,0.064,74389,0.065,0.235,0.2,0.192,0.633,Q2
24031700710,24,MD,7.7,28471.58,77603.62109,106075.20109,26.840938982376432,0.063,393.12,82555.2,37085.69301,45469.50699,44.92229806238735,94.33682593101344,115.66317406898658,94.336826,6240,0.06,92269,0.081,0.183,1.2,0.311,0.787,Q3
24031701306,24,MD,2.2,2772.55,11364.64826,14137.198260000001,19.611735996125162,0.028,85.232,17898.72,2261.124468,15637.59553,12.632883625197778,26.529055612915336,183.4709443636193,26.529056,3044,0.011,149375,0.051,0.031,0.0,0.034,0.991,Q4 (Highest)
24031700719,24,MD,13.8,59854.76,180882.1047,240736.8647,24.86314677005927,0.152,1360.4,285684.0,121396.2811,164287.7189,42.49320266448243,89.2357255954131,120.76427440458689,89.235726,8950,0.247,55013,0.13,0.266,1.2,0.431,0.489,Q1 (Lowest)
24031700720,24,MD,6.1,11177.86,32747.6344,43925.494399999996,25.44731744669902,0.048,176.4,37044.0,16070.61672,20973.38328,43.38250923226433,91.1032693877551,118.89673061224488,91.103269,3675,0.018,94624,0.042,0.153,0.0,0.369,0.556,Q3
24031700610,24,MD,2.9,1370.57,10730.25587,12100.82587,11.326251734585119,0.034,70.142,14729.82,5660.829543,9068.990457,38.43108431060258,80.7052770522654,129.2947229477346,80.705277,2063,0.042,142073,0.043,0.084,4.4,0.11,0.899,Q4 (Highest)
24031701314,24,MD,4.9,2167.59,28599.50831,30767.09831,7.045155763991836,0.053,153.594,32254.74,3759.439078,28495.30092,11.655462353750176,24.476470942875373,185.5235290441033,24.476471,2898,0.018,104457,0.054,0.182,1.4,0.124,0.909,Q3
24031700723,24,MD,20.6,36618.91,109297.0646,145915.97460000002,25.09588830173225,0.175,618.45,129874.5,55506.22617,74368.27383,42.738356005220425,89.75054761096288,120.2494523890371,89.750548,3534,0.178,62431,0.056,0.164,0.9,0.109,0.121,Q1 (Lowest)
24031700820,24,MD,12.9,19561.86,61653.9609,81215.82089999999,24.08626765477907,0.14,414.8144,87111.024,33557.01999,53554.00401,38.52212779636249,80.89646837236124,129.10353162763877,80.896468,2960,0.157,62558,0.065,0.357,9.9,0.274,0.401,Q1 (Lowest)
24031701313,24,MD,7.1,12425.86,42055.27507,54481.135070000004,22.807637880588672,0.066,243.54,51143.4,5970.748174,45172.65183,11.674523348076193,24.51649903096001,185.48350098546442,24.516499,3690,0.033,111853,0.063,0.227,2.1,0.125,0.863,Q3
