STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,GEOGRAPH,TRACT,POVERTY200,TRACTCE,PERCENT_CA,PERCENT_TR,PERCENT_WA,TOTAL_POP,UNEMPLOYME,POVERTY_RA,MEDIAN_INC,PERCENT_BL,PERCENT_HI,HOME_OWN,F15_FI_RATE,F15_FI_POP,F15_LB_NEED,F15_LB_UNME,F15_DISTRIB,F15_PPIN,FY_FI_RATE,FY_FI_POP,FY_LB_UNME,FY_DISTRIB,FY_PPIN,F14_FI_RATE,F14_LB_UNME,F14_DISTRIB,F14_PPIN,GIS_ID,GLOBALID,CREATED,EDITED,SHAPEAREA,SHAPELEN,OBJECTID
24,031,700835,24031700835,7008.35,Census Tract 7008.35,G5020,S,5615037,50776,24031700835,700835,0,700835,89.5,8.7,1.8,4632,0.078,0.024,140550,0.171,0.116,0.936,0.052,240.864,50581.44,46090.786083,4490.653917,18.64394,5.2,240.864,46764.819102,3816.620898,15.845543,4.9,44557.159619,2591.62,11.543041,CAFB_Hunger_Heat_Map_48,{61AAEC49-C994-4CF3-A771-E6A5548F4CCB},,,0,0,14
24,031,700308,24031700308,7003.08,Census Tract 7003.08,G5020,S,2477204,20792,24031700308,700308,0,700308,92.9,6.6,0.5,5648,0.057,0.074,90577,0.263,0.165,0.736,0.087,491.376,103188.96,100417.543108,2771.416892,5.640114,8.7,491.376,101493.632631,1695.327369,3.450163,8.4,97490.097596,2599.26,5.45358,CAFB_Hunger_Heat_Map_49,{8BB878C0-110A-4D08-B106-397B4D180138},,,0,0,15
24,031,700810,24031700810,7008.10,Census Tract 7008.10,G5020,S,3540093,57786,24031700810,700810,0,700810,89.2,10.4,0.3,5224,0.08,0.109,99960,0.319,0.171,0.828,0.096,501.002496,105210.52416,64646.902376,40563.621784,80.96491,9.6,501.504,79436.539223,25879.300777,51.603379,8.5,85013.557542,8823.89,19.747097,CAFB_Hunger_Heat_Map_50,{336F212B-9D61-487B-85E7-8B8BC454B3C7},,,0,0,16
24,031,700104,24031700104,7001.04,Census Tract 7001.04,G5020,S,2409940,16378,24031700104,700104,0,700104,88.6,9.9,1.5,5429,0.049,0.045,112337,0.269,0.23,0.949,0.04,217.16,45603.6,27569.749738,18033.850262,83.04407,4,217.16,32712.890887,12890.709113,59.360421,4.5,36672.030733,10927.62,48.210439,CAFB_Hunger_Heat_Map_51,{F38B69E1-49DC-4770-BA22-CBB414DC2474},,,0,0,17
24,031,700309,24031700309,7003.09,Census Tract 7003.09,G5020,S,2303773,17476,24031700309,700309,0,700309,79,19.2,1.9,5483,0.104,0.114,84018,0.32,0.192,0.589,0.136,746.433688,156751.07448,144877.63827,11873.43621,15.906887,13.6,745.688,146590.902215,10003.577785,13.415232,14.1,150660.903681,11424.24,14.801416,CAFB_Hunger_Heat_Map_52,{C94F9D66-7134-4BD6-ACE6-4768BBEA9A62},,,0,0,18
24,031,700830,24031700830,7008.30,Census Tract 7008.30,G5020,S,1774034,4095,24031700830,700830,0,700830,90.7,7.5,1.8,2749,0.063,0.069,64621,0.308,0.332,0.103,0.141,387.609,81397.89,74022.53392,7375.35608,19.027825,14.1,387.221391,75352.340712,5964.151398,15.402433,12,57202.718835,8166.08,26.233877,CAFB_Hunger_Heat_Map_53,{DC8043AA-D80E-43C9-8349-D6CB0DB0D455},,,0,0,19
24,031,700834,24031700834,7008.34,Census Tract 7008.34,G5020,S,1404014,5877,24031700834,700834,0,700834,88.6,11.5,0,4989,0.042,0.075,90788,0.308,0.246,0.781,0.067,334.597263,70265.42523,63881.299046,6384.126184,19.080031,6.7,334.597263,64953.513298,5311.911932,15.875539,8,69868.755108,15139.24,37.39932,CAFB_Hunger_Heat_Map_54,{C7D08C2B-CE63-4AB7-84CC-5B94A49D89AC},,,0,0,20
24,031,700105,24031700105,7001.05,Census Tract 7001.05,G5020,S,6065290,37068,24031700105,700105,0,700105,85.7,14.3,0,6698,0.056,0.01,103480,0.25,0.156,0.869,0.058,388.484,81581.64,50211.870589,31369.769411,80.749193,5.8,388.095516,58382.177255,23117.881105,59.567504,7.6,92974.063542,12569.42,25.009384,CAFB_Hunger_Heat_Map_55,{8335485E-788A-47D2-AB49-C030A3B89757},,,0,0,21
24,031,700811,24031700811,7008.11,Census Tract 7008.11,G5020,S,1496732,8739,24031700811,700811,0,700811,85.3,13.5,1.3,5052,0.049,0.05,83389,0.258,0.367,0.724,0.052,262.966704,55223.00784,34324.413484,20898.594356,79.472397,5.2,262.966704,40427.476475,14795.531365,56.263896,5.2,47145.817128,5499.5,21.937289,CAFB_Hunger_Heat_Map_56,{AC978EF5-4170-479A-9619-856D2F356686},,,0,0,22
24,031,700310,24031700310,7003.10,Census Tract 7003.10,G5020,S,2123889,73185,24031700310,700310,0,700310,88.6,8.9,2.4,5879,0.088,0.03,78288,0.243,0.154,0.729,0.099,581.438979,122102.18559,117452.044131,4650.141459,7.997643,9.9,582.021,119151.449496,3072.960504,5.27981,9,96410.18429,9656.62,19.118983,CAFB_Hunger_Heat_Map_57,{CFE85081-88BF-46EC-8A78-9EC3E62BB457},,,0,0,23
